iter	Passed	Remaining
891	1820	220
892	1822	218
893	1824	216
894	1827	214
895	1829	212
896	1831	210
897	1833	208
898	1835	206
899	1837	204
900	1839	202
901	1841	200
902	1844	198
903	1845	196
904	1847	193
905	1849	191
906	1852	189
907	1854	187
908	1856	185
909	1858	183
910	1860	181
911	1862	179
912	1864	177
913	1866	175
914	1868	173
915	1870	171
916	1872	169
917	1874	167
918	1877	165
919	1878	163
920	1881	161
921	1884	159
922	1886	157
923	1888	155
924	1890	153
925	1893	151
926	1895	149
927	1896	147
928	1899	145
929	1901	143
930	1903	141
931	1905	139
932	1907	136
933	1908	134
934	1910	132
935	1912	130
936	1914	128
937	1916	126
938	1918	124
939	1920	122
940	1922	120
941	1924	118
942	1926	116
943	1928	114
944	1930	112
945	1932	110
946	1934	108
947	1936	106
948	1937	104
949	1939	102
950	1941	100
951	1943	98
952	1945	95
953	1947	93
954	1949	91
955	1951	89
956	1953	87
957	1955	85
958	1957	83
959	1959	81
960	1961	79
961	1962	77
962	1964	75
963	1966	73
964	1968	71
965	1970	69
966	1972	67
967	1974	65
968	1976	63
969	1978	61
970	1980	59
971	1982	57
972	1984	55
973	1986	53
974	1988	50
975	1990	48
976	1992	46
977	1994	44
978	1996	42
979	1999	40
980	2001	38
981	2003	36
982	2005	34
983	2007	32
984	2009	30
985	2011	28
986	2013	26
987	2015	24
988	2017	22
989	2019	20
990	2021	18
991	2023	16
992	2026	14
993	2028	12
994	2030	10
995	2032	8
996	2034	6
997	2036	4
998	2038	2
999	2040	0
